#    L    TT             EE             BB             TE          
   153    0.49156E+04    0.11892E+01    0.92161E-02   -0.50462E+02
   154    0.49507E+04    0.11818E+01    0.93471E-02   -0.50384E+02
   155    0.49855E+04    0.11739E+01    0.94792E-02   -0.50279E+02
   156    0.50199E+04    0.11657E+01    0.96126E-02   -0.50145E+02
   157    0.50542E+04    0.11570E+01    0.97471E-02   -0.49981E+02
   158    0.50881E+04    0.11480E+01    0.98827E-02   -0.49789E+02
   159    0.51217E+04    0.11386E+01    0.10020E-01   -0.49567E+02
   160    0.51550E+04    0.11288E+01    0.10158E-01   -0.49316E+02
   161    0.51880E+04    0.11188E+01    0.10297E-01   -0.49035E+02
   162    0.52206E+04    0.11084E+01    0.10437E-01   -0.48725E+02
   163    0.52530E+04    0.10977E+01    0.10579E-01   -0.48384E+02
   164    0.52849E+04    0.10868E+01    0.10721E-01   -0.48015E+02
   165    0.53166E+04    0.10755E+01    0.10865E-01   -0.47613E+02
   166    0.53479E+04    0.10641E+01    0.11010E-01   -0.47182E+02
   167    0.53789E+04    0.10524E+01    0.11157E-01   -0.46722E+02
   168    0.54093E+04    0.10407E+01    0.11304E-01   -0.46230E+02
   169    0.54394E+04    0.10287E+01    0.11453E-01   -0.45706E+02
   170    0.54691E+04    0.10166E+01    0.11602E-01   -0.45153E+02
   171    0.54982E+04    0.10045E+01    0.11753E-01   -0.44568E+02
   172    0.55269E+04    0.99221E+00    0.11905E-01   -0.43952E+02
   173    0.55551E+04    0.97985E+00    0.12059E-01   -0.43306E+02
   174    0.55829E+04    0.96767E+00    0.12213E-01   -0.42629E+02
   175    0.56102E+04    0.95539E+00    0.12369E-01   -0.41921E+02
   176    0.56369E+04    0.94322E+00    0.12525E-01   -0.41182E+02
   177    0.56632E+04    0.93111E+00    0.12683E-01   -0.40413E+02
   178    0.56889E+04    0.91927E+00    0.12842E-01   -0.39613E+02
   179    0.57141E+04    0.90741E+00    0.13002E-01   -0.38783E+02
