#    L    TT             EE             TE             PP             TP          
   100    0.29568E+04    0.86820E+00   -0.25854E+02    0.47853E+07    0.64477E+04
   101    0.29912E+04    0.88454E+00   -0.26588E+02    0.47578E+07    0.63756E+04
   102    0.30261E+04    0.90063E+00   -0.27322E+02    0.47304E+07    0.63049E+04
   103    0.30609E+04    0.91654E+00   -0.28056E+02    0.47031E+07    0.62355E+04
   104    0.30960E+04    0.93226E+00   -0.28788E+02    0.46760E+07    0.61673E+04
   105    0.31313E+04    0.94772E+00   -0.29518E+02    0.46490E+07    0.61004E+04
   106    0.31668E+04    0.96299E+00   -0.30246E+02    0.46222E+07    0.60348E+04
   107    0.32023E+04    0.97793E+00   -0.30971E+02    0.45954E+07    0.59703E+04
   108    0.32381E+04    0.99259E+00   -0.31693E+02    0.45688E+07    0.59069E+04
   109    0.32742E+04    0.10069E+01   -0.32410E+02    0.45424E+07    0.58447E+04
   110    0.33103E+04    0.10209E+01   -0.33121E+02    0.45161E+07    0.57836E+04
   111    0.33465E+04    0.10346E+01   -0.33828E+02    0.44900E+07    0.57235E+04
   112    0.33830E+04    0.10479E+01   -0.34529E+02    0.44640E+07    0.56645E+04
   113    0.34197E+04    0.10609E+01   -0.35223E+02    0.44381E+07    0.56064E+04
   114    0.34565E+04    0.10735E+01   -0.35910E+02    0.44124E+07    0.55493E+04
   115    0.34935E+04    0.10858E+01   -0.36588E+02    0.43869E+07    0.54932E+04
   116    0.35305E+04    0.10975E+01   -0.37258E+02    0.43615E+07    0.54380E+04
   117    0.35679E+04    0.11089E+01   -0.37919E+02    0.43363E+07    0.53836E+04
   118    0.36054E+04    0.11199E+01   -0.38571E+02    0.43113E+07    0.53302E+04
   119    0.36429E+04    0.11305E+01   -0.39211E+02    0.42864E+07    0.52775E+04
   120    0.36806E+04    0.11405E+01   -0.39840E+02    0.42617E+07    0.52258E+04
   121    0.37183E+04    0.11503E+01   -0.40458E+02    0.42371E+07    0.51748E+04
   122    0.37561E+04    0.11594E+01   -0.41064E+02    0.42127E+07    0.51246E+04
   123    0.37940E+04    0.11681E+01   -0.41657E+02    0.41885E+07    0.50752E+04
   124    0.38319E+04    0.11763E+01   -0.42234E+02    0.41644E+07    0.50265E+04
   125    0.38699E+04    0.11840E+01   -0.42799E+02    0.41405E+07    0.49786E+04
   126    0.39079E+04    0.11912E+01   -0.43349E+02    0.41168E+07    0.49314E+04
   127    0.39459E+04    0.11979E+01   -0.43884E+02    0.40932E+07    0.48849E+04
   128    0.39840E+04    0.12041E+01   -0.44403E+02    0.40698E+07    0.48390E+04
   129    0.40221E+04    0.12097E+01   -0.44905E+02    0.40466E+07    0.47938E+04
   130    0.40602E+04    0.12147E+01   -0.45390E+02    0.40235E+07    0.47492E+04
   131    0.40982E+04    0.12193E+01   -0.45858E+02    0.40006E+07    0.47052E+04
   132    0.41364E+04    0.12233E+01   -0.46308E+02    0.39778E+07    0.46619E+04
   133    0.41745E+04    0.12268E+01   -0.46740E+02    0.39552E+07    0.46190E+04
   134    0.42125E+04    0.12297E+01   -0.47150E+02    0.39328E+07    0.45768E+04
   135    0.42506E+04    0.12321E+01   -0.47542E+02    0.39106E+07    0.45351E+04
   136    0.42885E+04    0.12338E+01   -0.47912E+02    0.38885E+07    0.44940E+04
   137    0.43264E+04    0.12351E+01   -0.48261E+02    0.38665E+07    0.44534E+04
   138    0.43642E+04    0.12357E+01   -0.48589E+02    0.38448E+07    0.44133E+04
   139    0.44018E+04    0.12360E+01   -0.48895E+02    0.38232E+07    0.43738E+04
   140    0.44394E+04    0.12355E+01   -0.49179E+02    0.38017E+07    0.43347E+04
   141    0.44769E+04    0.12345E+01   -0.49439E+02    0.37804E+07    0.42962E+04
   142    0.45143E+04    0.12329E+01   -0.49676E+02    0.37593E+07    0.42581E+04
   143    0.45516E+04    0.12308E+01   -0.49889E+02    0.37384E+07    0.42205E+04
   144    0.45887E+04    0.12282E+01   -0.50079E+02    0.37176E+07    0.41834E+04
   145    0.46256E+04    0.12251E+01   -0.50244E+02    0.36969E+07    0.41468E+04
   146    0.46626E+04    0.12213E+01   -0.50385E+02    0.36764E+07    0.41106E+04
   147    0.46993E+04    0.12172E+01   -0.50499E+02    0.36561E+07    0.40748E+04
   148    0.47358E+04    0.12124E+01   -0.50589E+02    0.36359E+07    0.40395E+04
   149    0.47722E+04    0.12071E+01   -0.50652E+02    0.36159E+07    0.40046E+04
   150    0.48082E+04    0.12014E+01   -0.50687E+02    0.35960E+07    0.39701E+04
   151    0.48442E+04    0.11952E+01   -0.50696E+02    0.35763E+07    0.39360E+04
   152    0.48798E+04    0.11884E+01   -0.50678E+02    0.35568E+07    0.39023E+04
   153    0.49152E+04    0.11811E+01   -0.50631E+02    0.35374E+07    0.38689E+04
   154    0.49504E+04    0.11735E+01   -0.50556E+02    0.35181E+07    0.38360E+04
   155    0.49853E+04    0.11654E+01   -0.50454E+02    0.34990E+07    0.38034E+04
   156    0.50198E+04    0.11570E+01   -0.50323E+02    0.34801E+07    0.37713E+04
   157    0.50542E+04    0.11481E+01   -0.50163E+02    0.34613E+07    0.37394E+04
   158    0.50882E+04    0.11389E+01   -0.49974E+02    0.34426E+07    0.37079E+04
   159    0.51219E+04    0.11292E+01   -0.49756E+02    0.34241E+07    0.36768E+04
   160    0.51554E+04    0.11192E+01   -0.49507E+02    0.34058E+07    0.36460E+04
   161    0.51885E+04    0.11090E+01   -0.49229E+02    0.33875E+07    0.36156E+04
   162    0.52213E+04    0.10983E+01   -0.48922E+02    0.33695E+07    0.35854E+04
   163    0.52538E+04    0.10874E+01   -0.48585E+02    0.33515E+07    0.35556E+04
   164    0.52859E+04    0.10762E+01   -0.48218E+02    0.33337E+07    0.35261E+04
   165    0.53177E+04    0.10647E+01   -0.47819E+02    0.33161E+07    0.34969E+04
   166    0.53491E+04    0.10530E+01   -0.47391E+02    0.32986E+07    0.34679E+04
   167    0.53802E+04    0.10410E+01   -0.46933E+02    0.32812E+07    0.34393E+04
   168    0.54108E+04    0.10289E+01   -0.46443E+02    0.32640E+07    0.34110E+04
   169    0.54410E+04    0.10166E+01   -0.45922E+02    0.32469E+07    0.33829E+04
   170    0.54709E+04    0.10042E+01   -0.45372E+02    0.32299E+07    0.33551E+04
   171    0.55002E+04    0.99181E+00   -0.44789E+02    0.32131E+07    0.33276E+04
   172    0.55290E+04    0.97924E+00   -0.44175E+02    0.31964E+07    0.33004E+04
   173    0.55573E+04    0.96655E+00   -0.43530E+02    0.31798E+07    0.32734E+04
   174    0.55853E+04    0.95403E+00   -0.42856E+02    0.31634E+07    0.32467E+04
   175    0.56128E+04    0.94140E+00   -0.42149E+02    0.31471E+07    0.32202E+04
   176    0.56397E+04    0.92888E+00   -0.41412E+02    0.31309E+07    0.31940E+04
   177    0.56661E+04    0.91641E+00   -0.40645E+02    0.31149E+07    0.31680E+04
   178    0.56920E+04    0.90420E+00   -0.39846E+02    0.30990E+07    0.31423E+04
