#    L    TT             EE             TE             PP             TP          
   199    0.61413E+04    0.73462E+00   -0.15805E+02    0.26919E+07    0.28415E+04
   200    0.61544E+04    0.73436E+00   -0.14376E+02    0.26789E+07    0.28188E+04
   201    0.61668E+04    0.73513E+00   -0.12921E+02    0.26659E+07    0.27963E+04
   202    0.61786E+04    0.73693E+00   -0.11444E+02    0.26531E+07    0.27739E+04
   203    0.61897E+04    0.73984E+00   -0.99427E+01    0.26404E+07    0.27518E+04
   204    0.62001E+04    0.74387E+00   -0.84211E+01    0.26278E+07    0.27298E+04
   205    0.62098E+04    0.74908E+00   -0.68770E+01    0.26153E+07    0.27081E+04
   206    0.62187E+04    0.75551E+00   -0.53115E+01    0.26029E+07    0.26865E+04
   207    0.62270E+04    0.76320E+00   -0.37254E+01    0.25906E+07    0.26650E+04
   208    0.62345E+04    0.77218E+00   -0.21192E+01    0.25783E+07    0.26438E+04
   209    0.62413E+04    0.78251E+00   -0.49339E+00    0.25662E+07    0.26227E+04
   210    0.62474E+04    0.79422E+00    0.11510E+01    0.25541E+07    0.26017E+04
   211    0.62528E+04    0.80736E+00    0.28138E+01    0.25422E+07    0.25810E+04
   212    0.62574E+04    0.82195E+00    0.44940E+01    0.25303E+07    0.25604E+04
   213    0.62614E+04    0.83806E+00    0.61915E+01    0.25185E+07    0.25400E+04
   214    0.62646E+04    0.85568E+00    0.79050E+01    0.25069E+07    0.25197E+04
   215    0.62671E+04    0.87501E+00    0.96336E+01    0.24953E+07    0.24995E+04
   216    0.62689E+04    0.89586E+00    0.11378E+02    0.24837E+07    0.24796E+04
   217    0.62701E+04    0.91840E+00    0.13135E+02    0.24723E+07    0.24597E+04
   218    0.62705E+04    0.94264E+00    0.14906E+02    0.24610E+07    0.24401E+04
   219    0.62702E+04    0.96856E+00    0.16692E+02    0.24497E+07    0.24205E+04
   220    0.62693E+04    0.99634E+00    0.18487E+02    0.24385E+07    0.24012E+04
   221    0.62676E+04    0.10259E+01    0.20295E+02    0.24274E+07    0.23819E+04
   222    0.62653E+04    0.10574E+01    0.22112E+02    0.24164E+07    0.23628E+04
   223    0.62622E+04    0.10907E+01    0.23941E+02    0.24055E+07    0.23439E+04
   224    0.62586E+04    0.11259E+01    0.25777E+02    0.23946E+07    0.23251E+04
   225    0.62542E+04    0.11631E+01    0.27622E+02    0.23838E+07    0.23064E+04
   226    0.62491E+04    0.12023E+01    0.29474E+02    0.23731E+07    0.22879E+04
   227    0.62433E+04    0.12435E+01    0.31334E+02    0.23625E+07    0.22695E+04
   228    0.62369E+04    0.12868E+01    0.33199E+02    0.23520E+07    0.22513E+04
   229    0.62298E+04    0.13322E+01    0.35069E+02    0.23415E+07    0.22332E+04
   230    0.62220E+04    0.13796E+01    0.36944E+02    0.23311E+07    0.22152E+04
   231    0.62135E+04    0.14293E+01    0.38822E+02    0.23208E+07    0.21973E+04
   232    0.62044E+04    0.14810E+01    0.40704E+02    0.23105E+07    0.21796E+04
   233    0.61946E+04    0.15351E+01    0.42586E+02    0.23004E+07    0.21620E+04
   234    0.61840E+04    0.15913E+01    0.44470E+02    0.22903E+07    0.21446E+04
   235    0.61728E+04    0.16499E+01    0.46354E+02    0.22803E+07    0.21273E+04
   236    0.61608E+04    0.17107E+01    0.48237E+02    0.22703E+07    0.21101E+04
   237    0.61482E+04    0.17738E+01    0.50119E+02    0.22604E+07    0.20930E+04
   238    0.61350E+04    0.18393E+01    0.51999E+02    0.22506E+07    0.20760E+04
   239    0.61211E+04    0.19071E+01    0.53876E+02    0.22409E+07    0.20592E+04
   240    0.61065E+04    0.19773E+01    0.55748E+02    0.22312E+07    0.20425E+04
   241    0.60913E+04    0.20499E+01    0.57616E+02    0.22216E+07    0.20260E+04
   242    0.60755E+04    0.21249E+01    0.59478E+02    0.22121E+07    0.20095E+04
   243    0.60590E+04    0.22023E+01    0.61333E+02    0.22026E+07    0.19932E+04
