#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    57    0.17229E+04   -0.12338E+01    0.12548E-04   -0.12338E+01    0.20319E+00   -0.21078E-07    0.12548E-04   -0.21078E-07    0.38945E-10
    58    0.17469E+04   -0.15529E+01    0.12130E-04   -0.15529E+01    0.21429E+00   -0.20931E-07    0.12130E-04   -0.20931E-07    0.37455E-10
    59    0.17710E+04   -0.18860E+01    0.11731E-04   -0.18860E+01    0.22572E+00   -0.20782E-07    0.11731E-04   -0.20782E-07    0.36040E-10
    60    0.17953E+04   -0.22324E+01    0.11350E-04   -0.22324E+01    0.23744E+00   -0.20632E-07    0.11350E-04   -0.20632E-07    0.34694E-10
    61    0.18201E+04   -0.25915E+01    0.10986E-04   -0.25915E+01    0.24947E+00   -0.20482E-07    0.10986E-04   -0.20482E-07    0.33414E-10
    62    0.18449E+04   -0.29648E+01    0.10640E-04   -0.29648E+01    0.26180E+00   -0.20333E-07    0.10640E-04   -0.20333E-07    0.32195E-10
    63    0.18699E+04   -0.33539E+01    0.10309E-04   -0.33539E+01    0.27442E+00   -0.20184E-07    0.10309E-04   -0.20184E-07    0.31034E-10
    64    0.18953E+04   -0.37604E+01    0.99931E-05   -0.37604E+01    0.28737E+00   -0.20035E-07    0.99931E-05   -0.20035E-07    0.29929E-10
    65    0.19208E+04   -0.41857E+01    0.96913E-05   -0.41857E+01    0.30068E+00   -0.19887E-07    0.96913E-05   -0.19887E-07    0.28876E-10
    66    0.19466E+04   -0.46283E+01    0.94026E-05   -0.46283E+01    0.31429E+00   -0.19739E-07    0.94026E-05   -0.19739E-07    0.27871E-10
    67    0.19725E+04   -0.50859E+01    0.91260E-05   -0.50859E+01    0.32818E+00   -0.19591E-07    0.91260E-05   -0.19591E-07    0.26911E-10
    68    0.19988E+04   -0.55568E+01    0.88608E-05   -0.55568E+01    0.34238E+00   -0.19442E-07    0.88608E-05   -0.19442E-07    0.25994E-10
    69    0.20253E+04   -0.60382E+01    0.86063E-05   -0.60382E+01    0.35681E+00   -0.19294E-07    0.86063E-05   -0.19294E-07    0.25117E-10
    70    0.20522E+04   -0.65306E+01    0.83620E-05   -0.65306E+01    0.37150E+00   -0.19146E-07    0.83620E-05   -0.19146E-07    0.24279E-10
    71    0.20792E+04   -0.70350E+01    0.81275E-05   -0.70350E+01    0.38640E+00   -0.18997E-07    0.81275E-05   -0.18997E-07    0.23477E-10
    72    0.21066E+04   -0.75529E+01    0.79023E-05   -0.75529E+01    0.40150E+00   -0.18849E-07    0.79023E-05   -0.18849E-07    0.22710E-10
    73    0.21341E+04   -0.80848E+01    0.76859E-05   -0.80848E+01    0.41678E+00   -0.18701E-07    0.76859E-05   -0.18701E-07    0.21975E-10
    74    0.21618E+04   -0.86300E+01    0.74779E-05   -0.86300E+01    0.43226E+00   -0.18552E-07    0.74779E-05   -0.18552E-07    0.21271E-10
    75    0.21899E+04   -0.91874E+01    0.72776E-05   -0.91874E+01    0.44795E+00   -0.18404E-07    0.72776E-05   -0.18404E-07    0.20596E-10
    76    0.22181E+04   -0.97570E+01    0.70849E-05   -0.97570E+01    0.46387E+00   -0.18255E-07    0.70849E-05   -0.18255E-07    0.19948E-10
    77    0.22466E+04   -0.10339E+02    0.68994E-05   -0.10339E+02    0.48002E+00   -0.18107E-07    0.68994E-05   -0.18107E-07    0.19327E-10
    78    0.22755E+04   -0.10934E+02    0.67208E-05   -0.10934E+02    0.49639E+00   -0.17959E-07    0.67208E-05   -0.17959E-07    0.18731E-10
    79    0.23045E+04   -0.11538E+02    0.65488E-05   -0.11538E+02    0.51293E+00   -0.17811E-07    0.65488E-05   -0.17811E-07    0.18158E-10
    80    0.23339E+04   -0.12153E+02    0.63831E-05   -0.12153E+02    0.52963E+00   -0.17663E-07    0.63831E-05   -0.17663E-07    0.17609E-10
    81    0.23636E+04   -0.12778E+02    0.62233E-05   -0.12778E+02    0.54642E+00   -0.17515E-07    0.62233E-05   -0.17515E-07    0.17080E-10
    82    0.23935E+04   -0.13414E+02    0.60692E-05   -0.13414E+02    0.56333E+00   -0.17367E-07    0.60692E-05   -0.17367E-07    0.16572E-10
    83    0.24237E+04   -0.14060E+02    0.59205E-05   -0.14060E+02    0.58034E+00   -0.17220E-07    0.59205E-05   -0.17220E-07    0.16083E-10
    84    0.24543E+04   -0.14715E+02    0.57770E-05   -0.14715E+02    0.59743E+00   -0.17073E-07    0.57770E-05   -0.17073E-07    0.15613E-10
    85    0.24850E+04   -0.15379E+02    0.56385E-05   -0.15379E+02    0.61459E+00   -0.16926E-07    0.56385E-05   -0.16926E-07    0.15161E-10
    86    0.25159E+04   -0.16052E+02    0.55047E-05   -0.16052E+02    0.63182E+00   -0.16779E-07    0.55047E-05   -0.16779E-07    0.14725E-10
    87    0.25473E+04   -0.16733E+02    0.53755E-05   -0.16733E+02    0.64910E+00   -0.16633E-07    0.53755E-05   -0.16633E-07    0.14306E-10
