#    L    TT             EE             BB             TE             PP             TP             EP          
    78    0.22615E+04    0.49412E+00    0.00000E+00   -0.10800E+02    0.11891E-06    0.50392E-03   -0.14068E-05
    79    0.22902E+04    0.51061E+00    0.00000E+00   -0.11400E+02    0.11825E-06    0.49697E-03   -0.14130E-05
    80    0.23194E+04    0.52726E+00    0.00000E+00   -0.12011E+02    0.11758E-06    0.49019E-03   -0.14189E-05
    81    0.23487E+04    0.54400E+00    0.00000E+00   -0.12632E+02    0.11691E-06    0.48357E-03   -0.14246E-05
    82    0.23784E+04    0.56087E+00    0.00000E+00   -0.13264E+02    0.11625E-06    0.47710E-03   -0.14300E-05
    83    0.24083E+04    0.57783E+00    0.00000E+00   -0.13906E+02    0.11558E-06    0.47079E-03   -0.14351E-05
    84    0.24386E+04    0.59489E+00    0.00000E+00   -0.14557E+02    0.11492E-06    0.46463E-03   -0.14399E-05
    85    0.24690E+04    0.61200E+00    0.00000E+00   -0.15217E+02    0.11426E-06    0.45861E-03   -0.14445E-05
    86    0.24997E+04    0.62920E+00    0.00000E+00   -0.15886E+02    0.11360E-06    0.45272E-03   -0.14487E-05
    87    0.25308E+04    0.64644E+00    0.00000E+00   -0.16563E+02    0.11294E-06    0.44697E-03   -0.14527E-05
    88    0.25620E+04    0.66373E+00    0.00000E+00   -0.17247E+02    0.11228E-06    0.44134E-03   -0.14565E-05
    89    0.25936E+04    0.68106E+00    0.00000E+00   -0.17940E+02    0.11162E-06    0.43583E-03   -0.14599E-05
    90    0.26254E+04    0.69839E+00    0.00000E+00   -0.18637E+02    0.11097E-06    0.43044E-03   -0.14631E-05
    91    0.26574E+04    0.71570E+00    0.00000E+00   -0.19341E+02    0.11032E-06    0.42516E-03   -0.14660E-05
    92    0.26897E+04    0.73299E+00    0.00000E+00   -0.20050E+02    0.10967E-06    0.41999E-03   -0.14686E-05
    93    0.27224E+04    0.75023E+00    0.00000E+00   -0.20764E+02    0.10903E-06    0.41493E-03   -0.14710E-05
    94    0.27551E+04    0.76740E+00    0.00000E+00   -0.21482E+02    0.10838E-06    0.40997E-03   -0.14730E-05
    95    0.27882E+04    0.78449E+00    0.00000E+00   -0.22205E+02    0.10774E-06    0.40511E-03   -0.14749E-05
    96    0.28213E+04    0.80149E+00    0.00000E+00   -0.22931E+02    0.10711E-06    0.40034E-03   -0.14764E-05
    97    0.28549E+04    0.81837E+00    0.00000E+00   -0.23659E+02    0.10647E-06    0.39566E-03   -0.14777E-05
    98    0.28887E+04    0.83514E+00    0.00000E+00   -0.24389E+02    0.10584E-06    0.39108E-03   -0.14787E-05
    99    0.29226E+04    0.85175E+00    0.00000E+00   -0.25122E+02    0.10521E-06    0.38658E-03   -0.14795E-05
   100    0.29568E+04    0.86820E+00    0.00000E+00   -0.25854E+02    0.10459E-06    0.38217E-03   -0.14800E-05
   101    0.29912E+04    0.88454E+00    0.00000E+00   -0.26588E+02    0.10397E-06    0.37785E-03   -0.14802E-05
   102    0.30261E+04    0.90063E+00    0.00000E+00   -0.27322E+02    0.10335E-06    0.37360E-03   -0.14802E-05
   103    0.30609E+04    0.91654E+00    0.00000E+00   -0.28056E+02    0.10273E-06    0.36943E-03   -0.14799E-05
   104    0.30960E+04    0.93226E+00    0.00000E+00   -0.28788E+02    0.10212E-06    0.36535E-03   -0.14793E-05
   105    0.31313E+04    0.94772E+00    0.00000E+00   -0.29518E+02    0.10151E-06    0.36134E-03   -0.14785E-05
   106    0.31668E+04    0.96299E+00    0.00000E+00   -0.30246E+02    0.10091E-06    0.35740E-03   -0.14775E-05
   107    0.32023E+04    0.97793E+00    0.00000E+00   -0.30971E+02    0.10031E-06    0.35353E-03   -0.14762E-05
   108    0.32381E+04    0.99259E+00    0.00000E+00   -0.31693E+02    0.99710E-07    0.34974E-03   -0.14746E-05
   109    0.32742E+04    0.10069E+01    0.00000E+00   -0.32410E+02    0.99117E-07    0.34601E-03   -0.14728E-05
   110    0.33103E+04    0.10209E+01    0.00000E+00   -0.33121E+02    0.98526E-07    0.34235E-03   -0.14708E-05
   111    0.33465E+04    0.10346E+01    0.00000E+00   -0.33828E+02    0.97940E-07    0.33875E-03   -0.14685E-05
   112    0.33830E+04    0.10479E+01    0.00000E+00   -0.34529E+02    0.97357E-07    0.33522E-03   -0.14659E-05
   113    0.34197E+04    0.10609E+01    0.00000E+00   -0.35223E+02    0.96779E-07    0.33174E-03   -0.14632E-05
   114    0.34565E+04    0.10735E+01    0.00000E+00   -0.35910E+02    0.96204E-07    0.32833E-03   -0.14601E-05
   115    0.34935E+04    0.10858E+01    0.00000E+00   -0.36588E+02    0.95633E-07    0.32497E-03   -0.14569E-05
   116    0.35305E+04    0.10975E+01    0.00000E+00   -0.37258E+02    0.95066E-07    0.32166E-03   -0.14534E-05
   117    0.35679E+04    0.11089E+01    0.00000E+00   -0.37919E+02    0.94503E-07    0.31841E-03   -0.14496E-05
   118    0.36054E+04    0.11199E+01    0.00000E+00   -0.38571E+02    0.93943E-07    0.31522E-03   -0.14456E-05
   119    0.36429E+04    0.11305E+01    0.00000E+00   -0.39211E+02    0.93388E-07    0.31207E-03   -0.14414E-05
   120    0.36806E+04    0.11405E+01    0.00000E+00   -0.39840E+02    0.92837E-07    0.30898E-03   -0.14370E-05
   121    0.37183E+04    0.11503E+01    0.00000E+00   -0.40458E+02    0.92289E-07    0.30593E-03   -0.14323E-05
   122    0.37561E+04    0.11594E+01    0.00000E+00   -0.41064E+02    0.91745E-07    0.30294E-03   -0.14274E-05
   123    0.37940E+04    0.11681E+01    0.00000E+00   -0.41657E+02    0.91206E-07    0.29999E-03   -0.14223E-05
   124    0.38319E+04    0.11763E+01    0.00000E+00   -0.42234E+02    0.90670E-07    0.29708E-03   -0.14169E-05
   125    0.38699E+04    0.11840E+01    0.00000E+00   -0.42799E+02    0.90138E-07    0.29422E-03   -0.14113E-05
   126    0.39079E+04    0.11912E+01    0.00000E+00   -0.43349E+02    0.89610E-07    0.29140E-03   -0.14055E-05
   127    0.39459E+04    0.11979E+01    0.00000E+00   -0.43884E+02    0.89085E-07    0.28863E-03   -0.13995E-05
   128    0.39840E+04    0.12041E+01    0.00000E+00   -0.44403E+02    0.88565E-07    0.28589E-03   -0.13933E-05
   129    0.40221E+04    0.12097E+01    0.00000E+00   -0.44905E+02    0.88049E-07    0.28319E-03   -0.13868E-05
   130    0.40602E+04    0.12147E+01    0.00000E+00   -0.45390E+02    0.87536E-07    0.28054E-03   -0.13801E-05
   131    0.40982E+04    0.12193E+01    0.00000E+00   -0.45858E+02    0.87027E-07    0.27791E-03   -0.13732E-05
   132    0.41364E+04    0.12233E+01    0.00000E+00   -0.46308E+02    0.86522E-07    0.27533E-03   -0.13661E-05
