#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    56    0.15130E+04   -0.10690E+01    0.13440E-04   -0.10690E+01    0.16156E+00   -0.23382E-07    0.13440E-04   -0.23382E-07    0.36367E-10
    57    0.15346E+04   -0.13372E+01    0.12947E-04   -0.13372E+01    0.17055E+00   -0.23327E-07    0.12947E-04   -0.23327E-07    0.34923E-10
    58    0.15565E+04   -0.16187E+01    0.12479E-04   -0.16187E+01    0.17983E+00   -0.23259E-07    0.12479E-04   -0.23259E-07    0.33554E-10
    59    0.15785E+04   -0.19123E+01    0.12034E-04   -0.19123E+01    0.18938E+00   -0.23222E-07    0.12034E-04   -0.23222E-07    0.32255E-10
    60    0.16006E+04   -0.22170E+01    0.11609E-04   -0.22170E+01    0.19916E+00   -0.23141E-07    0.11609E-04   -0.23141E-07    0.31020E-10
    61    0.16233E+04   -0.25325E+01    0.11205E-04   -0.25325E+01    0.20919E+00   -0.22932E-07    0.11205E-04   -0.22932E-07    0.29846E-10
    62    0.16459E+04   -0.28600E+01    0.10819E-04   -0.28600E+01    0.21947E+00   -0.22604E-07    0.10819E-04   -0.22604E-07    0.28729E-10
    63    0.16687E+04   -0.32011E+01    0.10451E-04   -0.32011E+01    0.22999E+00   -0.22193E-07    0.10451E-04   -0.22193E-07    0.27666E-10
    64    0.16919E+04   -0.35576E+01    0.10100E-04   -0.35576E+01    0.24080E+00   -0.21732E-07    0.10100E-04   -0.21732E-07    0.26654E-10
    65    0.17151E+04   -0.39304E+01    0.97658E-05   -0.39304E+01    0.25190E+00   -0.21257E-07    0.97658E-05   -0.21257E-07    0.25691E-10
    66    0.17385E+04   -0.43183E+01    0.94464E-05   -0.43183E+01    0.26325E+00   -0.20800E-07    0.94464E-05   -0.20800E-07    0.24773E-10
    67    0.17621E+04   -0.47187E+01    0.91412E-05   -0.47187E+01    0.27485E+00   -0.20398E-07    0.91412E-05   -0.20398E-07    0.23897E-10
    68    0.17861E+04   -0.51301E+01    0.88495E-05   -0.51301E+01    0.28671E+00   -0.20074E-07    0.88495E-05   -0.20074E-07    0.23060E-10
    69    0.18103E+04   -0.55496E+01    0.85705E-05   -0.55496E+01    0.29875E+00   -0.19820E-07    0.85705E-05   -0.19820E-07    0.22261E-10
    70    0.18349E+04   -0.59778E+01    0.83036E-05   -0.59778E+01    0.31100E+00   -0.19619E-07    0.83036E-05   -0.19619E-07    0.21497E-10
    71    0.18596E+04   -0.64160E+01    0.80481E-05   -0.64160E+01    0.32343E+00   -0.19452E-07    0.80481E-05   -0.19452E-07    0.20767E-10
    72    0.18846E+04   -0.68656E+01    0.78035E-05   -0.68656E+01    0.33602E+00   -0.19302E-07    0.78035E-05   -0.19302E-07    0.20069E-10
    73    0.19097E+04   -0.73274E+01    0.75690E-05   -0.73274E+01    0.34875E+00   -0.19150E-07    0.75690E-05   -0.19150E-07    0.19401E-10
    74    0.19350E+04   -0.78007E+01    0.73440E-05   -0.78007E+01    0.36164E+00   -0.18980E-07    0.73440E-05   -0.18980E-07    0.18762E-10
    75    0.19606E+04   -0.82843E+01    0.71280E-05   -0.82843E+01    0.37471E+00   -0.18776E-07    0.71280E-05   -0.18776E-07    0.18149E-10
    76    0.19863E+04   -0.87786E+01    0.69204E-05   -0.87786E+01    0.38797E+00   -0.18545E-07    0.69204E-05   -0.18545E-07    0.17562E-10
    77    0.20123E+04   -0.92832E+01    0.67211E-05   -0.92832E+01    0.40143E+00   -0.18294E-07    0.67211E-05   -0.18294E-07    0.16999E-10
    78    0.20386E+04   -0.97995E+01    0.65296E-05   -0.97995E+01    0.41508E+00   -0.18031E-07    0.65296E-05   -0.18031E-07    0.16459E-10
    79    0.20650E+04   -0.10323E+02    0.63455E-05   -0.10323E+02    0.42888E+00   -0.17766E-07    0.63455E-05   -0.17766E-07    0.15941E-10
    80    0.20918E+04   -0.10856E+02    0.61686E-05   -0.10856E+02    0.44281E+00   -0.17507E-07    0.61686E-05   -0.17507E-07    0.15444E-10
    81    0.21187E+04   -0.11397E+02    0.59985E-05   -0.11397E+02    0.45681E+00   -0.17262E-07    0.59985E-05   -0.17262E-07    0.14967E-10
    82    0.21460E+04   -0.11947E+02    0.58347E-05   -0.11947E+02    0.47091E+00   -0.17039E-07    0.58347E-05   -0.17039E-07    0.14508E-10
    83    0.21734E+04   -0.12506E+02    0.56772E-05   -0.12506E+02    0.48509E+00   -0.16835E-07    0.56772E-05   -0.16835E-07    0.14067E-10
    84    0.22012E+04   -0.13072E+02    0.55255E-05   -0.13072E+02    0.49934E+00   -0.16647E-07    0.55255E-05   -0.16647E-07    0.13643E-10
    85    0.22291E+04   -0.13645E+02    0.53794E-05   -0.13645E+02    0.51364E+00   -0.16472E-07    0.53794E-05   -0.16472E-07    0.13236E-10
    86    0.22571E+04   -0.14226E+02    0.52387E-05   -0.14226E+02    0.52801E+00   -0.16307E-07    0.52387E-05   -0.16307E-07    0.12844E-10
    87    0.22857E+04   -0.14814E+02    0.51032E-05   -0.14814E+02    0.54241E+00   -0.16147E-07    0.51032E-05   -0.16147E-07    0.12467E-10
    88    0.23142E+04   -0.15407E+02    0.49724E-05   -0.15407E+02    0.55686E+00   -0.15989E-07    0.49724E-05   -0.15989E-07    0.12104E-10
    89    0.23431E+04   -0.16008E+02    0.48462E-05   -0.16008E+02    0.57134E+00   -0.15830E-07    0.48462E-05   -0.15830E-07    0.11755E-10
    90    0.23721E+04   -0.16612E+02    0.47244E-05   -0.16612E+02    0.58581E+00   -0.15667E-07    0.47244E-05   -0.15667E-07    0.11418E-10
    91    0.24014E+04   -0.17222E+02    0.46067E-05   -0.17222E+02    0.60027E+00   -0.15500E-07    0.46067E-05   -0.15500E-07    0.11093E-10
    92    0.24309E+04   -0.17836E+02    0.44930E-05   -0.17836E+02    0.61471E+00   -0.15330E-07    0.44930E-05   -0.15330E-07    0.10781E-10
    93    0.24607E+04   -0.18454E+02    0.43831E-05   -0.18454E+02    0.62911E+00   -0.15159E-07    0.43831E-05   -0.15159E-07    0.10479E-10
    94    0.24906E+04   -0.19075E+02    0.42769E-05   -0.19075E+02    0.64344E+00   -0.14987E-07    0.42769E-05   -0.14987E-07    0.10188E-10
    95    0.25207E+04   -0.19700E+02    0.41741E-05   -0.19700E+02    0.65770E+00   -0.14814E-07    0.41741E-05   -0.14814E-07    0.99072E-11
    96    0.25508E+04   -0.20328E+02    0.40747E-05   -0.20328E+02    0.67189E+00   -0.14643E-07    0.40747E-05   -0.14643E-07    0.96362E-11
    97    0.25814E+04   -0.20957E+02    0.39784E-05   -0.20957E+02    0.68598E+00   -0.14473E-07    0.39784E-05   -0.14473E-07    0.93744E-11
    98    0.26122E+04   -0.21587E+02    0.38852E-05   -0.21587E+02    0.69997E+00   -0.14307E-07    0.38852E-05   -0.14307E-07    0.91213E-11
    99    0.26430E+04   -0.22220E+02    0.37949E-05   -0.22220E+02    0.71382E+00   -0.14143E-07    0.37949E-05   -0.14143E-07    0.88767E-11
   100    0.26741E+04   -0.22851E+02    0.37074E-05   -0.22851E+02    0.72753E+00   -0.13982E-07    0.37074E-05   -0.13982E-07    0.86403E-11
   101    0.27053E+04   -0.23484E+02    0.36226E-05   -0.23484E+02    0.74117E+00   -0.13823E-07    0.36226E-05   -0.13823E-07    0.84118E-11
   102    0.27371E+04   -0.24116E+02    0.35405E-05   -0.24116E+02    0.75459E+00   -0.13666E-07    0.35405E-05   -0.13666E-07    0.81910E-11
   103    0.27687E+04   -0.24749E+02    0.34610E-05   -0.24749E+02    0.76785E+00   -0.13512E-07    0.34610E-05   -0.13512E-07    0.79776E-11
   104    0.28006E+04   -0.25378E+02    0.33839E-05   -0.25378E+02    0.78097E+00   -0.13359E-07    0.33839E-05   -0.13359E-07    0.77714E-11
   105    0.28325E+04   -0.26007E+02    0.33093E-05   -0.26007E+02    0.79386E+00   -0.13209E-07    0.33093E-05   -0.13209E-07    0.75721E-11
   106    0.28647E+04   -0.26633E+02    0.32369E-05   -0.26633E+02    0.80660E+00   -0.13060E-07    0.32369E-05   -0.13060E-07    0.73794E-11
   107    0.28968E+04   -0.27256E+02    0.31668E-05   -0.27256E+02    0.81904E+00   -0.12912E-07    0.31668E-05   -0.12912E-07    0.71932E-11
   108    0.29293E+04   -0.27876E+02    0.30988E-05   -0.27876E+02    0.83127E+00   -0.12766E-07    0.30988E-05   -0.12766E-07    0.70130E-11
   109    0.29619E+04   -0.28492E+02    0.30328E-05   -0.28492E+02    0.84319E+00   -0.12621E-07    0.30328E-05   -0.12621E-07    0.68388E-11
   110    0.29946E+04   -0.29102E+02    0.29688E-05   -0.29102E+02    0.85482E+00   -0.12477E-07    0.29688E-05   -0.12477E-07    0.66701E-11
   111    0.30274E+04   -0.29708E+02    0.29067E-05   -0.29708E+02    0.86623E+00   -0.12334E-07    0.29067E-05   -0.12334E-07    0.65068E-11
   112    0.30603E+04   -0.30310E+02    0.28463E-05   -0.30310E+02    0.87735E+00   -0.12192E-07    0.28463E-05   -0.12192E-07    0.63486E-11
   113    0.30935E+04   -0.30905E+02    0.27877E-05   -0.30905E+02    0.88817E+00   -0.12050E-07    0.27877E-05   -0.12050E-07    0.61952E-11
   114    0.31267E+04   -0.31493E+02    0.27307E-05   -0.31493E+02    0.89863E+00   -0.11909E-07    0.27307E-05   -0.11909E-07    0.60464E-11
   115    0.31601E+04   -0.32074E+02    0.26752E-05   -0.32074E+02    0.90886E+00   -0.11768E-07    0.26752E-05   -0.11768E-07    0.59020E-11
   116    0.31936E+04   -0.32647E+02    0.26211E-05   -0.32647E+02    0.91865E+00   -0.11627E-07    0.26211E-05   -0.11627E-07    0.57618E-11
   117    0.32273E+04   -0.33212E+02    0.25686E-05   -0.33212E+02    0.92808E+00   -0.11487E-07    0.25686E-05   -0.11487E-07    0.56256E-11
   118    0.32611E+04   -0.33769E+02    0.25174E-05   -0.33769E+02    0.93729E+00   -0.11346E-07    0.25174E-05   -0.11346E-07    0.54935E-11
   119    0.32950E+04   -0.34317E+02    0.24676E-05   -0.34317E+02    0.94614E+00   -0.11207E-07    0.24676E-05   -0.11207E-07    0.53652E-11
   120    0.33289E+04   -0.34854E+02    0.24192E-05   -0.34854E+02    0.95448E+00   -0.11067E-07    0.24192E-05   -0.11067E-07    0.52407E-11
   121    0.33629E+04   -0.35381E+02    0.23720E-05   -0.35381E+02    0.96260E+00   -0.10929E-07    0.23720E-05   -0.10929E-07    0.51199E-11
   122    0.33969E+04   -0.35897E+02    0.23261E-05   -0.35897E+02    0.97022E+00   -0.10790E-07    0.23261E-05   -0.10790E-07    0.50025E-11
   123    0.34310E+04   -0.36402E+02    0.22814E-05   -0.36402E+02    0.97740E+00   -0.10652E-07    0.22814E-05   -0.10652E-07    0.48886E-11
   124    0.34652E+04   -0.36893E+02    0.22379E-05   -0.36893E+02    0.98422E+00   -0.10515E-07    0.22379E-05   -0.10515E-07    0.47781E-11
   125    0.34993E+04   -0.37373E+02    0.21955E-05   -0.37373E+02    0.99061E+00   -0.10378E-07    0.21955E-05   -0.10378E-07    0.46707E-11
   126    0.35335E+04   -0.37841E+02    0.21542E-05   -0.37841E+02    0.99665E+00   -0.10241E-07    0.21542E-05   -0.10241E-07    0.45664E-11
   127    0.35677E+04   -0.38295E+02    0.21140E-05   -0.38295E+02    0.10022E+01   -0.10106E-07    0.21140E-05   -0.10106E-07    0.44651E-11
   128    0.36019E+04   -0.38735E+02    0.20748E-05   -0.38735E+02    0.10073E+01   -0.99704E-08    0.20748E-05   -0.99704E-08    0.43666E-11
   129    0.36361E+04   -0.39161E+02    0.20365E-05   -0.39161E+02    0.10120E+01   -0.98360E-08    0.20365E-05   -0.98360E-08    0.42709E-11
   130    0.36703E+04   -0.39571E+02    0.19993E-05   -0.39571E+02    0.10162E+01   -0.97021E-08    0.19993E-05   -0.97021E-08    0.41779E-11
   131    0.37045E+04   -0.39967E+02    0.19629E-05   -0.39967E+02    0.10200E+01   -0.95690E-08    0.19629E-05   -0.95690E-08    0.40874E-11
   132    0.37388E+04   -0.40346E+02    0.19274E-05   -0.40346E+02    0.10233E+01   -0.94367E-08    0.19274E-05   -0.94367E-08    0.39993E-11
   133    0.37730E+04   -0.40710E+02    0.18927E-05   -0.40710E+02    0.10262E+01   -0.93050E-08    0.18927E-05   -0.93050E-08    0.39135E-11
   134    0.38071E+04   -0.41056E+02    0.18589E-05   -0.41056E+02    0.10287E+01   -0.91741E-08    0.18589E-05   -0.91741E-08    0.38301E-11
   135    0.38413E+04   -0.41385E+02    0.18259E-05   -0.41385E+02    0.10307E+01   -0.90438E-08    0.18259E-05   -0.90438E-08    0.37489E-11
   136    0.38753E+04   -0.41694E+02    0.17936E-05   -0.41694E+02    0.10321E+01   -0.89143E-08    0.17936E-05   -0.89143E-08    0.36699E-11
   137    0.39092E+04   -0.41986E+02    0.17621E-05   -0.41986E+02    0.10332E+01   -0.87855E-08    0.17621E-05   -0.87855E-08    0.35930E-11
   138    0.39431E+04   -0.42259E+02    0.17314E-05   -0.42259E+02    0.10337E+01   -0.86573E-08    0.17314E-05   -0.86573E-08    0.35181E-11
   139    0.39768E+04   -0.42513E+02    0.17014E-05   -0.42513E+02    0.10340E+01   -0.85298E-08    0.17014E-05   -0.85298E-08    0.34453E-11
   140    0.40106E+04   -0.42748E+02    0.16721E-05   -0.42748E+02    0.10336E+01   -0.84030E-08    0.16721E-05   -0.84030E-08    0.33744E-11
   141    0.40441E+04   -0.42961E+02    0.16434E-05   -0.42961E+02    0.10327E+01   -0.82768E-08    0.16434E-05   -0.82768E-08    0.33054E-11
   142    0.40776E+04   -0.43155E+02    0.16154E-05   -0.43155E+02    0.10314E+01   -0.81512E-08    0.16154E-05   -0.81512E-08    0.32381E-11
   143    0.41110E+04   -0.43328E+02    0.15881E-05   -0.43328E+02    0.10297E+01   -0.80263E-08    0.15881E-05   -0.80263E-08    0.31727E-11
