#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    63    0.18598E+04   -0.32788E+01    0.99522E-05   -0.32788E+01    0.27297E+00   -0.20132E-07    0.99522E-05   -0.20132E-07    0.31923E-10
    64    0.18849E+04   -0.36817E+01    0.96397E-05   -0.36817E+01    0.28587E+00   -0.19985E-07    0.96397E-05   -0.19985E-07    0.30789E-10
    65    0.19102E+04   -0.41032E+01    0.93412E-05   -0.41032E+01    0.29912E+00   -0.19837E-07    0.93412E-05   -0.19837E-07    0.29709E-10
    66    0.19357E+04   -0.45421E+01    0.90560E-05   -0.45421E+01    0.31267E+00   -0.19690E-07    0.90560E-05   -0.19690E-07    0.28678E-10
    67    0.19613E+04   -0.49959E+01    0.87830E-05   -0.49959E+01    0.32651E+00   -0.19543E-07    0.87830E-05   -0.19543E-07    0.27694E-10
    68    0.19874E+04   -0.54629E+01    0.85214E-05   -0.54629E+01    0.34065E+00   -0.19396E-07    0.85214E-05   -0.19396E-07    0.26753E-10
    69    0.20136E+04   -0.59405E+01    0.82705E-05   -0.59405E+01    0.35503E+00   -0.19248E-07    0.82705E-05   -0.19248E-07    0.25854E-10
    70    0.20403E+04   -0.64289E+01    0.80300E-05   -0.64289E+01    0.36965E+00   -0.19101E-07    0.80300E-05   -0.19101E-07    0.24993E-10
    71    0.20671E+04   -0.69294E+01    0.77993E-05   -0.69294E+01    0.38450E+00   -0.18953E-07    0.77993E-05   -0.18953E-07    0.24170E-10
    72    0.20942E+04   -0.74433E+01    0.75779E-05   -0.74433E+01    0.39954E+00   -0.18806E-07    0.75779E-05   -0.18806E-07    0.23383E-10
    73    0.21214E+04   -0.79712E+01    0.73653E-05   -0.79712E+01    0.41477E+00   -0.18658E-07    0.73653E-05   -0.18658E-07    0.22629E-10
    74    0.21489E+04   -0.85124E+01    0.71611E-05   -0.85124E+01    0.43019E+00   -0.18511E-07    0.71611E-05   -0.18511E-07    0.21906E-10
    75    0.21766E+04   -0.90657E+01    0.69647E-05   -0.90657E+01    0.44583E+00   -0.18363E-07    0.69647E-05   -0.18363E-07    0.21213E-10
    76    0.22046E+04   -0.96313E+01    0.67758E-05   -0.96313E+01    0.46170E+00   -0.18216E-07    0.67758E-05   -0.18216E-07    0.20548E-10
    77    0.22329E+04   -0.10209E+02    0.65942E-05   -0.10209E+02    0.47779E+00   -0.18068E-07    0.65942E-05   -0.18068E-07    0.19910E-10
    78    0.22615E+04   -0.10800E+02    0.64195E-05   -0.10800E+02    0.49412E+00   -0.17921E-07    0.64195E-05   -0.17921E-07    0.19297E-10
    79    0.22902E+04   -0.11400E+02    0.62513E-05   -0.11400E+02    0.51061E+00   -0.17774E-07    0.62513E-05   -0.17774E-07    0.18709E-10
    80    0.23194E+04   -0.12011E+02    0.60894E-05   -0.12011E+02    0.52726E+00   -0.17627E-07    0.60894E-05   -0.17627E-07    0.18145E-10
    81    0.23487E+04   -0.12632E+02    0.59334E-05   -0.12632E+02    0.54400E+00   -0.17480E-07    0.59334E-05   -0.17480E-07    0.17602E-10
    82    0.23784E+04   -0.13264E+02    0.57831E-05   -0.13264E+02    0.56087E+00   -0.17333E-07    0.57831E-05   -0.17333E-07    0.17080E-10
    83    0.24083E+04   -0.13906E+02    0.56382E-05   -0.13906E+02    0.57783E+00   -0.17187E-07    0.56382E-05   -0.17187E-07    0.16578E-10
    84    0.24386E+04   -0.14557E+02    0.54985E-05   -0.14557E+02    0.59489E+00   -0.17041E-07    0.54985E-05   -0.17041E-07    0.16094E-10
    85    0.24690E+04   -0.15217E+02    0.53637E-05   -0.15217E+02    0.61200E+00   -0.16894E-07    0.53637E-05   -0.16894E-07    0.15629E-10
    86    0.24997E+04   -0.15886E+02    0.52337E-05   -0.15886E+02    0.62920E+00   -0.16749E-07    0.52337E-05   -0.16749E-07    0.15182E-10
    87    0.25308E+04   -0.16563E+02    0.51082E-05   -0.16563E+02    0.64644E+00   -0.16603E-07    0.51082E-05   -0.16603E-07    0.14751E-10
    88    0.25620E+04   -0.17247E+02    0.49869E-05   -0.17247E+02    0.66373E+00   -0.16457E-07    0.49869E-05   -0.16457E-07    0.14336E-10
    89    0.25936E+04   -0.17940E+02    0.48697E-05   -0.17940E+02    0.68106E+00   -0.16312E-07    0.48697E-05   -0.16312E-07    0.13936E-10
    90    0.26254E+04   -0.18637E+02    0.47564E-05   -0.18637E+02    0.69839E+00   -0.16167E-07    0.47564E-05   -0.16167E-07    0.13550E-10
    91    0.26574E+04   -0.19341E+02    0.46467E-05   -0.19341E+02    0.71570E+00   -0.16022E-07    0.46467E-05   -0.16022E-07    0.13177E-10
    92    0.26897E+04   -0.20050E+02    0.45406E-05   -0.20050E+02    0.73299E+00   -0.15877E-07    0.45406E-05   -0.15877E-07    0.12818E-10
    93    0.27224E+04   -0.20764E+02    0.44379E-05   -0.20764E+02    0.75023E+00   -0.15732E-07    0.44379E-05   -0.15732E-07    0.12472E-10
    94    0.27551E+04   -0.21482E+02    0.43384E-05   -0.21482E+02    0.76740E+00   -0.15588E-07    0.43384E-05   -0.15588E-07    0.12137E-10
    95    0.27882E+04   -0.22205E+02    0.42421E-05   -0.22205E+02    0.78449E+00   -0.15444E-07    0.42421E-05   -0.15444E-07    0.11814E-10
    96    0.28213E+04   -0.22931E+02    0.41487E-05   -0.22931E+02    0.80149E+00   -0.15300E-07    0.41487E-05   -0.15300E-07    0.11502E-10
    97    0.28549E+04   -0.23659E+02    0.40582E-05   -0.23659E+02    0.81837E+00   -0.15156E-07    0.40582E-05   -0.15156E-07    0.11200E-10
    98    0.28887E+04   -0.24389E+02    0.39703E-05   -0.24389E+02    0.83514E+00   -0.15012E-07    0.39703E-05   -0.15012E-07    0.10909E-10
    99    0.29226E+04   -0.25122E+02    0.38850E-05   -0.25122E+02    0.85175E+00   -0.14869E-07    0.38850E-05   -0.14869E-07    0.10626E-10
   100    0.29568E+04   -0.25854E+02    0.38023E-05   -0.25854E+02    0.86820E+00   -0.14726E-07    0.38023E-05   -0.14726E-07    0.10353E-10
   101    0.29912E+04   -0.26588E+02    0.37220E-05   -0.26588E+02    0.88454E+00   -0.14583E-07    0.37220E-05   -0.14583E-07    0.10089E-10
   102    0.30261E+04   -0.27322E+02    0.36442E-05   -0.27322E+02    0.90063E+00   -0.14441E-07    0.36442E-05   -0.14441E-07    0.98333E-11
   103    0.30609E+04   -0.28056E+02    0.35686E-05   -0.28056E+02    0.91654E+00   -0.14299E-07    0.35686E-05   -0.14299E-07    0.95861E-11
   104    0.30960E+04   -0.28788E+02    0.34952E-05   -0.28788E+02    0.93226E+00   -0.14157E-07    0.34952E-05   -0.14157E-07    0.93470E-11
   105    0.31313E+04   -0.29518E+02    0.34240E-05   -0.29518E+02    0.94772E+00   -0.14015E-07    0.34240E-05   -0.14015E-07    0.91158E-11
   106    0.31668E+04   -0.30246E+02    0.33549E-05   -0.30246E+02    0.96299E+00   -0.13873E-07    0.33549E-05   -0.13873E-07    0.88920E-11
   107    0.32023E+04   -0.30971E+02    0.32877E-05   -0.30971E+02    0.97793E+00   -0.13732E-07    0.32877E-05   -0.13732E-07    0.86755E-11
   108    0.32381E+04   -0.31693E+02    0.32225E-05   -0.31693E+02    0.99259E+00   -0.13591E-07    0.32225E-05   -0.13591E-07    0.84660E-11
   109    0.32742E+04   -0.32410E+02    0.31592E-05   -0.32410E+02    0.10069E+01   -0.13451E-07    0.31592E-05   -0.13451E-07    0.82630E-11
   110    0.33103E+04   -0.33121E+02    0.30976E-05   -0.33121E+02    0.10209E+01   -0.13310E-07    0.30976E-05   -0.13310E-07    0.80665E-11
   111    0.33465E+04   -0.33828E+02    0.30377E-05   -0.33828E+02    0.10346E+01   -0.13170E-07    0.30377E-05   -0.13170E-07    0.78760E-11
   112    0.33830E+04   -0.34529E+02    0.29795E-05   -0.34529E+02    0.10479E+01   -0.13031E-07    0.29795E-05   -0.13031E-07    0.76913E-11
